hour,weekday,junction,traffic_intensity
0,0,0,11
0,0,1,8
0,0,2,12
0,0,3,16
0,0,4,7
0,0,5,7
0,0,6,16
0,0,7,12
1,0,0,6
1,0,1,11
1,0,2,6
1,0,3,6
1,0,4,10
1,0,5,1
1,0,6,1
1,0,7,6
2,0,0,3
2,0,1,10
2,0,2,4
2,0,3,1
2,0,4,16
2,0,5,7
2,0,6,9
2,0,7,1
3,0,0,6
3,0,1,9
3,0,2,3
3,0,3,10
3,0,4,5
3,0,5,7
3,0,6,5
3,0,7,18
4,0,0,8
4,0,1,3
4,0,2,13
4,0,3,2
4,0,4,10
4,0,5,1
4,0,6,2
4,0,7,9
5,0,0,23
5,0,1,20
5,0,2,19
5,0,3,18
5,0,4,12
5,0,5,16
5,0,6,17
5,0,7,25
6,0,0,40
6,0,1,30
6,0,2,40
6,0,3,37
6,0,4,35
6,0,5,40
6,0,6,40
6,0,7,40
7,0,0,34
7,0,1,37
7,0,2,40
7,0,3,40
7,0,4,36
7,0,5,38
7,0,6,33
7,0,7,33
8,0,0,40
8,0,1,40
8,0,2,38
8,0,3,40
8,0,4,40
8,0,5,35
8,0,6,40
8,0,7,40
9,0,0,38
9,0,1,40
9,0,2,25
9,0,3,40
9,0,4,39
9,0,5,37
9,0,6,39
9,0,7,29
10,0,0,37
10,0,1,40
10,0,2,40
10,0,3,36
10,0,4,34
10,0,5,36
10,0,6,40
10,0,7,40
11,0,0,36
11,0,1,40
11,0,2,39
11,0,3,40
11,0,4,35
11,0,5,37
11,0,6,37
11,0,7,31
12,0,0,29
12,0,1,29
12,0,2,28
12,0,3,26
12,0,4,20
12,0,5,25
12,0,6,26
12,0,7,23
13,0,0,27
13,0,1,30
13,0,2,37
13,0,3,28
13,0,4,29
13,0,5,27
13,0,6,18
13,0,7,27
14,0,0,28
14,0,1,40
14,0,2,27
14,0,3,29
14,0,4,27
14,0,5,22
14,0,6,33
14,0,7,31
15,0,0,31
15,0,1,23
15,0,2,35
15,0,3,20
15,0,4,30
15,0,5,38
15,0,6,23
15,0,7,25
16,0,0,28
16,0,1,25
16,0,2,20
16,0,3,28
16,0,4,22
16,0,5,30
16,0,6,23
16,0,7,35
17,0,0,35
17,0,1,37
17,0,2,40
17,0,3,32
17,0,4,40
17,0,5,40
17,0,6,30
17,0,7,39
18,0,0,40
18,0,1,40
18,0,2,32
18,0,3,32
18,0,4,40
18,0,5,40
18,0,6,40
18,0,7,40
19,0,0,35
19,0,1,40
19,0,2,40
19,0,3,35
19,0,4,40
19,0,5,40
19,0,6,33
19,0,7,40
20,0,0,34
20,0,1,40
20,0,2,40
20,0,3,34
20,0,4,40
20,0,5,40
20,0,6,40
20,0,7,40
21,0,0,37
21,0,1,35
21,0,2,34
21,0,3,34
21,0,4,38
21,0,5,40
