hour,weekday,junction,traffic_intensity
0,0,0,3
0,0,1,2
0,0,2,2
0,0,3,1
0,0,4,1
0,0,5,2
0,0,6,1
0,0,7,1
1,0,0,2
1,0,1,1
1,0,2,1
1,0,3,1
1,0,4,1
1,0,5,1
1,0,6,1
1,0,7,1
2,0,0,1
2,0,1,1
2,0,2,1
2,0,3,1
2,0,4,1
2,0,5,1
2,0,6,1
2,0,7,1
3,0,0,1
3,0,1,1
3,0,2,1
3,0,3,1
3,0,4,1
3,0,5,1
3,0,6,1
3,0,7,1
4,0,0,2
4,0,1,2
4,0,2,2
4,0,3,1
4,0,4,1
4,0,5,2
4,0,6,2
4,0,7,1
5,0,0,5
5,0,1,4
5,0,2,4
5,0,3,3
5,0,4,3
5,0,5,4
5,0,6,3
5,0,7,2
6,0,0,18
6,0,1,17
6,0,2,16
6,0,3,15
6,0,4,14
6,0,5,16
6,0,6,13
6,0,7,12
7,0,0,28
7,0,1,27
7,0,2,26
7,0,3,25
7,0,4,23
7,0,5,26
7,0,6,22
7,0,7,20
8,0,0,32
8,0,1,31
8,0,2,30
8,0,3,29
8,0,4,27
8,0,5,30
8,0,6,26
8,0,7,24
9,0,0,30
9,0,1,29
9,0,2,28
9,0,3,27
9,0,4,25
9,0,5,28
9,0,6,24
9,0,7,22
10,0,0,26
10,0,1,25
10,0,2,24
10,0,3,23
10,0,4,21
10,0,5,24
10,0,6,20
10,0,7,18
11,0,0,24
11,0,1,23
11,0,2,22
11,0,3,21
11,0,4,19
11,0,5,22
11,0,6,18
11,0,7,16
12,0,0,22
12,0,1,21
12,0,2,20
12,0,3,19
12,0,4,17
12,0,5,20
12,0,6,16
12,0,7,14
13,0,0,20
13,0,1,19
13,0,2,18
13,0,3,17
13,0,4,15
13,0,5,18
13,0,6,14
13,0,7,12
14,0,0,22
14,0,1,21
14,0,2,20
14,0,3,19
14,0,4,17
14,0,5,20
14,0,6,16
14,0,7,14
15,0,0,24
15,0,1,23
15,0,2,22
15,0,3,21
15,0,4,19
15,0,5,22
15,0,6,18
15,0,7,16
16,0,0,26
16,0,1,25
16,0,2,24
16,0,3,23
16,0,4,21
16,0,5,24
16,0,6,20
16,0,7,18
17,0,0,28
17,0,1,27
17,0,2,26
17,0,3,25
17,0,4,23
17,0,5,26
17,0,6,22
17,0,7,20
18,0,0,30
18,0,1,29
18,0,2,28
18,0,3,27
18,0,4,25
18,0,5,28
18,0,6,24
18,0,7,22
19,0,0,26
19,0,1,25
19,0,2,24
19,0,3,23
19,0,4,21
19,0,5,24
19,0,6,20
19,0,7,18
20,0,0,20
20,0,1,19
20,0,2,18
20,0,3,17
20,0,4,15
20,0,5,18
20,0,6,14
20,0,7,12
21,0,0,15
21,0,1,14
21,0,2,13
21,0,3,12
21,0,4,10
21,0,5,13
21,0,6,9
21,0,7,8
22,0,0,10
22,0,1,9
22,0,2,8
22,0,3,7
22,0,4,6
22,0,5,8
22,0,6,5
22,0,7,4
23,0,0,5
23,0,1,4
23,0,2,4
23,0,3,3
23,0,4,3
23,0,5,4
23,0,6,2
23,0,7,2
0,1,0,2
0,1,1,1
0,1,2,1
0,1,3,1
0,1,4,1
0,1,5,1
0,1,6,1
0,1,7,1
1,1,0,1
1,1,1,1
1,1,2,1
1,1,3,1
1,1,4,1
1,1,5,1
1,1,6,1
1,1,7,1
2,1,0,1
2,1,1,1
2,1,2,1
2,1,3,1
2,1,4,1
2,1,5,1
2,1,6,1
2,1,7,1
3,1,0,1
3,1,1,1
3,1,2,1
3,1,3,1
3,1,4,1
3,1,5,1
3,1,6,1
3,1,7,1
4,1,0,3
4,1,1,2
4,1,2,2
4,1,3,2
4,1,4,2
4,1,5,2
4,1,6,2
4,1,7,1
5,1,0,8
5,1,1,7
5,1,2,7
5,1,3,6
5,1,4,5
5,1,5,7
5,1,6,5
5,1,7,4
6,1,0,22
6,1,1,21
6,1,2,20
