hour,weekday,junction,traffic_intensity
0,0,0,10
0,0,1,7
0,0,2,11
0,0,3,15
0,0,4,6
0,0,5,6
0,0,6,15
0,0,7,11
1,0,0,5
1,0,1,10
1,0,2,5
1,0,3,5
1,0,4,9
1,0,5,1
1,0,6,1
1,0,7,5
2,0,0,2
2,0,1,9
2,0,2,3
2,0,3,1
2,0,4,15
2,0,5,6
2,0,6,8
2,0,7,1
3,0,0,5
3,0,1,8
3,0,2,2
3,0,3,9
3,0,4,4
3,0,5,6
3,0,6,4
3,0,7,17
4,0,0,7
4,0,1,2
4,0,2,12
4,0,3,1
4,0,4,9
4,0,5,1
4,0,6,1
4,0,7,8
5,0,0,20
5,0,1,17
5,0,2,16
5,0,3,15
5,0,4,9
5,0,5,13
5,0,6,14
5,0,7,22
6,0,0,37
6,0,1,27
6,0,2,37
6,0,3,34
6,0,4,32
6,0,5,39
6,0,6,22
6,0,7,21
7,0,0,31
7,0,1,34
7,0,2,37
7,0,3,40
7,0,4,33
7,0,5,35
7,0,6,11
7,0,7,11
8,0,0,40
8,0,1,40
8,0,2,35
8,0,3,40
8,0,4,37
8,0,5,32
8,0,6,18
8,0,7,24
9,0,0,35
9,0,1,40
9,0,2,22
9,0,3,40
9,0,4,36
9,0,5,34
9,0,6,17
9,0,7,7
10,0,0,34
10,0,1,37
10,0,2,40
10,0,3,33
10,0,4,31
10,0,5,33
10,0,6,21
10,0,7,18
11,0,0,33
11,0,1,38
11,0,2,36
11,0,3,40
11,0,4,32
11,0,5,34
11,0,6,15
11,0,7,9
12,0,0,27
12,0,1,27
12,0,2,26
12,0,3,24
12,0,4,18
12,0,5,23
12,0,6,24
12,0,7,21
13,0,0,25
13,0,1,28
13,0,2,35
13,0,3,26
13,0,4,27
13,0,5,25
13,0,6,16
13,0,7,25
14,0,0,26
14,0,1,38
14,0,2,25
14,0,3,27
14,0,4,25
14,0,5,20
14,0,6,31
14,0,7,29
15,0,0,29
15,0,1,21
15,0,2,33
15,0,3,18
15,0,4,28
15,0,5,36
15,0,6,21
15,0,7,23
16,0,0,26
16,0,1,23
16,0,2,18
16,0,3,26
16,0,4,20
16,0,5,28
16,0,6,21
16,0,7,33
17,0,0,32
17,0,1,34
17,0,2,40
17,0,3,29
17,0,4,37
17,0,5,40
17,0,6,8
17,0,7,17
18,0,0,37
18,0,1,39
18,0,2,29
18,0,3,29
18,0,4,38
18,0,5,37
18,0,6,18
18,0,7,18
19,0,0,32
19,0,1,37
19,0,2,37
19,0,3,32
19,0,4,40
19,0,5,38
19,0,6,11
19,0,7,20
20,0,0,31
20,0,1,39
20,0,2,40
20,0,3,31
20,0,4,40
20,0,5,38
20,0,6,21
20,0,7,26
21,0,0,34
21,0,1,32
21,0,2,31
21,0,3,31
21,0,4,35
21,0,5,37
21,0,6,18
21,0,7,21
22,0,0,8
22,0,1,15
22,0,2,6
22,0,3,21
22,0,4,11
22,0,5,3
22,0,6,2
22,0,7,10
23,0,0,6
23,0,1,11
23,0,2,10
23,0,3,7
23,0,4,3
23,0,5,1
23,0,6,5
23,0,7,12
0,1,0,9
0,1,1,1
0,1,2,8
0,1,3,9
0,1,4,3
0,1,5,8
0,1,6,8
0,1,7,2
1,1,0,9
1,1,1,10
1,1,2,13
1,1,3,13
1,1,4,1
1,1,5,3
1,1,6,10
1,1,7,10
2,1,0,10
2,1,1,27
2,1,2,10
2,1,3,13
2,1,4,12
2,1,5,11
2,1,6,6
2,1,7,11
3,1,0,4
3,1,1,6
3,1,2,5
3,1,3,8
3,1,4,19
3,1,5,1
3,1,6,11
3,1,7,1
4,1,0,5
4,1,1,13
4,1,2,8
4,1,3,2
4,1,4,4
4,1,5,11
4,1,6,4
4,1,7,9
5,1,0,17
5,1,1,13
5,1,2,27
5,1,3,20
5,1,4,6
5,1,5,17
5,1,6,13
5,1,7,21
6,1,0,32
6,1,1,35
6,1,2,38
6,1,3,40
6,1,4,29
6,1,5,34
6,1,6,14
6,1,7,13
7,1,0,40
7,1,1,38
7,1,2,29
7,1,3,40
7,1,4,40
7,1,5,40
7,1,6,9
7,1,7,14
8,1,0,40
8,1,1,32
8,1,2,38
8,1,3,39
8,1,4,31
8,1,5,35
8,1,6,1
8,1,7,11
9,1,0,34
9,1,1,29
9,1,2,40
9,1,3,28
9,1,4,33
9,1,5,36
9,1,6,24
9,1,7,9
10,1,0,40
10,1,1,36
10,1,2,31
10,1,3,38
10,1,4,36
10,1,5,32
10,1,6,17
10,1,7,15
11,1,0,36
11,1,1,39
11,1,2,40
11,1,3,29
11,1,4,40
11,1,5,26
11,1,6,16
11,1,7,19
12,1,0,27
12,1,1,22
12,1,2,24
12,1,3,23
12,1,4,23
12,1,5,30
12,1,6,27
12,1,7,22
13,1,0,30
13,1,1,27
13,1,2,30
13,1,3,29
13,1,4,21
13,1,5,23
13,1,6,29
13,1,7,29
14,1,0,25
14,1,1,26
14,1,2,32
14,1,3,23
14,1,4,28
14,1,5,24
14,1,6,24
14,1,7,31
15,1,0,30
15,1,1,30
15,1,2,32
15,1,3,26
15,1,4,29
15,1,5,24
15,1,6,27
15,1,7,25
16,1,0,26
16,1,1,28
16,1,2,21
16,1,3,36
16,1,4,20
16,1,5,19
16,1,6,31
16,1,7,29
17,1,0,39
17,1,1,39
17,1,2,35
17,1,3,31
17,1,4,36
17,1,5,32
17,1,6,21
17,1,7,16
18,1,0,31
18,1,1,34
18,1,2,38
18,1,3,33
18,1,4,31
18,1,5,37
18,1,6,18
18,1,7,14
19,1,0,33
19,1,1,37
19,1,2,28
19,1,3,28
19,1,4,32
19,1,5,34
19,1,6,18
19,1,7,24
20,1,0,40
20,1,1,35
20,1,2,35
20,1,3,30
20,1,4,35
20,1,5,34
20,1,6,18
20,1,7,12
21,1,0,38
21,1,1,40
21,1,2,35
21,1,3,38
21,1,4,39
21,1,5,33
21,1,6,18
21,1,7,17
22,1,0,8
22,1,1,4
22,1,2,8
22,1,3,10
22,1,4,15
22,1,5,12
22,1,6,18
22,1,7,4
23,1,0,12
23,1,1,8
23,1,2,18
23,1,3,3
23,1,4,3
23,1,5,5
23,1,6,1
23,1,7,5
0,2,0,4
0,2,1,8
0,2,2,9
0,2,3,17
0,2,4,12
0,2,5,5
0,2,6,3
0,2,7,10
1,2,0,1
1,2,1,17
1,2,2,13
1,2,3,5
1,2,4,1
1,2,5,14
1,2,6,7
1,2,7,14
2,2,0,1
2,2,1,5
2,2,2,8
2,2,3,8
2,2,4,5
2,2,5,11
2,2,6,2
2,2,7,7
3,2,0,8
3,2,1,10
3,2,2,11
3,2,3,2
3,2,4,1
3,2,5,14
3,2,6,9
3,2,7,4
4,2,0,15
4,2,1,8
4,2,2,13
4,2,3,8
4,2,4,18
4,2,5,16
4,2,6,6
4,2,7,12
5,2,0,20
5,2,1,23
5,2,2,12
5,2,3,20
5,2,4,22
5,2,5,8
5,2,6,11
5,2,7,6
6,2,0,34
6,2,1,39
6,2,2,40
6,2,3,36
6,2,4,40
6,2,5,29
6,2,6,8
6,2,7,16
7,2,0,37
7,2,1,35
7,2,2,25
7,2,3,35
7,2,4,29
7,2,5,39
7,2,6,18
7,2,7,12
8,2,0,33
8,2,1,30
8,2,2,35
8,2,3,40
8,2,4,31
8,2,5,38
8,2,6,14
8,2,7,13
9,2,0,35
9,2,1,30
9,2,2,33
9,2,3,30
9,2,4,40
9,2,5,36
9,2,6,13
9,2,7,18
10,2,0,35
10,2,1,34
10,2,2,39
10,2,3,39
10,2,4,33
10,2,5,33
10,2,6,15
10,2,7,5
11,2,0,28
11,2,1,40
11,2,2,40
11,2,3,34
11,2,4,38
11,2,5,37
11,2,6,32
11,2,7,22
12,2,0,25
12,2,1,21
12,2,2,17
12,2,3,27
12,2,4,22
12,2,5,18
12,2,6,22
12,2,7,20
13,2,0,34
