hour,weekday,junction,traffic_intensity
0,0,0,10
0,0,1,7
0,0,2,11
0,0,3,15
0,0,4,6
0,0,5,6
0,0,6,15
0,0,7,11
1,0,0,5
1,0,1,10
1,0,2,5
1,0,3,5
1,0,4,9
1,0,5,1
1,0,6,1
1,0,7,5
2,0,0,2
2,0,1,9
2,0,2,3
2,0,3,1
2,0,4,15
2,0,5,6
2,0,6,8
2,0,7,1
3,0,0,5
3,0,1,8
3,0,2,2
3,0,3,9
3,0,4,4
3,0,5,6
3,0,6,4
3,0,7,17
4,0,0,7
4,0,1,2
4,0,2,12
4,0,3,1
4,0,4,9
4,0,5,1
4,0,6,1
4,0,7,8
5,0,0,21
5,0,1,18
5,0,2,17
5,0,3,16
5,0,4,10
5,0,5,14
5,0,6,15
5,0,7,23
6,0,0,39
6,0,1,29
6,0,2,39
6,0,3,36
6,0,4,34
6,0,5,40
6,0,6,40
6,0,7,22
7,0,0,33
7,0,1,36
7,0,2,39
7,0,3,40
7,0,4,35
7,0,5,37
7,0,6,32
7,0,7,12
8,0,0,40
8,0,1,40
8,0,2,37
8,0,3,40
8,0,4,39
8,0,5,34
8,0,6,39
8,0,7,25
9,0,0,37
9,0,1,40
9,0,2,24
9,0,3,40
9,0,4,38
9,0,5,36
9,0,6,38
9,0,7,8
10,0,0,36
10,0,1,39
10,0,2,40
10,0,3,35
10,0,4,33
10,0,5,35
10,0,6,40
10,0,7,19
11,0,0,35
11,0,1,40
11,0,2,38
11,0,3,40
11,0,4,34
11,0,5,36
11,0,6,36
11,0,7,10
12,0,0,26
12,0,1,26
12,0,2,25
12,0,3,23
12,0,4,17
12,0,5,22
12,0,6,23
12,0,7,20
13,0,0,24
13,0,1,27
13,0,2,34
13,0,3,25
13,0,4,26
13,0,5,24
13,0,6,15
13,0,7,24
14,0,0,25
14,0,1,37
14,0,2,24
14,0,3,26
14,0,4,24
14,0,5,19
14,0,6,30
14,0,7,28
15,0,0,28
15,0,1,20
15,0,2,32
15,0,3,17
15,0,4,27
15,0,5,35
15,0,6,20
15,0,7,22
16,0,0,25
16,0,1,22
16,0,2,17
16,0,3,25
16,0,4,19
16,0,5,27
16,0,6,20
16,0,7,32
17,0,0,34
17,0,1,36
17,0,2,40
17,0,3,31
17,0,4,39
17,0,5,40
17,0,6,29
17,0,7,18
18,0,0,39
18,0,1,40
18,0,2,31
18,0,3,31
18,0,4,40
18,0,5,39
18,0,6,39
18,0,7,19
19,0,0,34
19,0,1,39
19,0,2,39
19,0,3,34
19,0,4,40
19,0,5,40
19,0,6,32
19,0,7,21
20,0,0,33
20,0,1,40
20,0,2,40
20,0,3,33
20,0,4,40
20,0,5,40
20,0,6,40
20,0,7,27
21,0,0,36
21,0,1,34
21,0,2,33
21,0,3,33
21,0,4,37
21,0,5,39
21,0,6,39
21,0,7,22
22,0,0,8
22,0,1,15
22,0,2,6
22,0,3,21
22,0,4,11
22,0,5,3
22,0,6,2
22,0,7,10
23,0,0,6
23,0,1,11
23,0,2,10
23,0,3,7
23,0,4,3
23,0,5,1
23,0,6,5
23,0,7,12
0,1,0,9
0,1,1,1
0,1,2,8
0,1,3,9
0,1,4,3
0,1,5,8
0,1,6,8
0,1,7,2
1,1,0,9
1,1,1,10
1,1,2,13
1,1,3,13
1,1,4,1
1,1,5,3
1,1,6,10
1,1,7,10
2,1,0,10
2,1,1,27
2,1,2,10
2,1,3,13
2,1,4,12
2,1,5,11
2,1,6,6
2,1,7,11
3,1,0,4
3,1,1,6
3,1,2,5
3,1,3,8
3,1,4,19
3,1,5,1
3,1,6,11
3,1,7,1
4,1,0,5
4,1,1,13
4,1,2,8
4,1,3,2
4,1,4,4
4,1,5,11
4,1,6,4
4,1,7,9
5,1,0,18
5,1,1,14
5,1,2,28
5,1,3,21
5,1,4,7
5,1,5,18
5,1,6,14
5,1,7,22
6,1,0,34
6,1,1,37
6,1,2,40
6,1,3,40
6,1,4,31
6,1,5,36
6,1,6,35
6,1,7,14
7,1,0,40
7,1,1,40
7,1,2,31
7,1,3,40
7,1,4,40
7,1,5,40
7,1,6,30
7,1,7,15
8,1,0,40
8,1,1,34
8,1,2,40
8,1,3,40
8,1,4,33
8,1,5,37
8,1,6,21
8,1,7,12
9,1,0,36
9,1,1,31
9,1,2,40
9,1,3,30
9,1,4,35
9,1,5,38
9,1,6,40
9,1,7,10
10,1,0,40
10,1,1,38
10,1,2,33
10,1,3,40
10,1,4,38
10,1,5,34
10,1,6,38
10,1,7,16
11,1,0,38
11,1,1,40
11,1,2,40
11,1,3,31
11,1,4,40
11,1,5,28
11,1,6,37
11,1,7,20
12,1,0,26
12,1,1,21
12,1,2,23
12,1,3,22
12,1,4,22
12,1,5,29
12,1,6,26
12,1,7,21
13,1,0,29
13,1,1,26
13,1,2,29
13,1,3,28
13,1,4,20
13,1,5,22
13,1,6,28
13,1,7,28
14,1,0,24
14,1,1,25
14,1,2,31
14,1,3,22
14,1,4,27
14,1,5,23
14,1,6,23
14,1,7,30
15,1,0,29
15,1,1,29
15,1,2,31
15,1,3,25
15,1,4,28
15,1,5,23
15,1,6,26
15,1,7,24
16,1,0,25
16,1,1,27
16,1,2,20
16,1,3,35
16,1,4,19
16,1,5,18
16,1,6,30
16,1,7,28
17,1,0,40
17,1,1,40
17,1,2,37
17,1,3,33
17,1,4,38
17,1,5,34
17,1,6,40
17,1,7,17
18,1,0,33
18,1,1,36
18,1,2,40
18,1,3,35
18,1,4,33
18,1,5,39
18,1,6,39
18,1,7,15
19,1,0,35
19,1,1,39
19,1,2,30
19,1,3,30
19,1,4,34
19,1,5,36
19,1,6,39
19,1,7,25
20,1,0,40
20,1,1,37
20,1,2,37
20,1,3,32
20,1,4,37
20,1,5,36
20,1,6,39
20,1,7,13
21,1,0,40
21,1,1,40
21,1,2,37
21,1,3,40
21,1,4,40
21,1,5,35
21,1,6,39
21,1,7,18
22,1,0,8
22,1,1,4
22,1,2,8
22,1,3,10
22,1,4,15
22,1,5,12
22,1,6,18
22,1,7,4
23,1,0,12
23,1,1,8
23,1,2,18
23,1,3,3
23,1,4,3
23,1,5,5
23,1,6,1
23,1,7,5
0,2,0,4
0,2,1,8
0,2,2,9
0,2,3,17
0,2,4,12
0,2,5,5
0,2,6,3
0,2,7,10
1,2,0,1
1,2,1,17
1,2,2,13
1,2,3,5
1,2,4,1
1,2,5,14
1,2,6,7
1,2,7,14
2,2,0,1
2,2,1,5
2,2,2,8
2,2,3,8
2,2,4,5
2,2,5,11
2,2,6,2
2,2,7,7
3,2,0,8
3,2,1,10
3,2,2,11
3,2,3,2
3,2,4,1
3,2,5,14
3,2,6,9
3,2,7,4
4,2,0,15
4,2,1,8
4,2,2,13
4,2,3,8
4,2,4,18
4,2,5,16
4,2,6,6
4,2,7,12
5,2,0,21
5,2,1,24
5,2,2,13
5,2,3,21
5,2,4,23
5,2,5,9
5,2,6,12
5,2,7,7
6,2,0,36
6,2,1,40
6,2,2,40
6,2,3,38
6,2,4,40
6,2,5,31
6,2,6,29
6,2,7,17
7,2,0,39
7,2,1,37
7,2,2,27
7,2,3,37
7,2,4,31
7,2,5,40
7,2,6,39
7,2,7,13
8,2,0,35
8,2,1,32
8,2,2,37
8,2,3,40
8,2,4,33
8,2,5,40
8,2,6,35
8,2,7,14
9,2,0,37
9,2,1,32
9,2,2,35
9,2,3,32
9,2,4,40
9,2,5,38
9,2,6,34
9,2,7,19
10,2,0,37
10,2,1,36
10,2,2,40
10,2,3,40
10,2,4,35
10,2,5,35
10,2,6,36
10,2,7,6
11,2,0,30
11,2,1,40
11,2,2,40
11,2,3,36
11,2,4,40
11,2,5,39
11,2,6,40
11,2,7,23
12,2,0,24
12,2,1,20
12,2,2,16
12,2,3,26
12,2,4,21
12,2,5,17
12,2,6,21
12,2,7,19
13,2,0,33
